ShellLength;Temperature;G
70;26,1;0,039209142
80;26,1;0,036193054
90;26,1;0,033176966
100;26,1;0,030160878
110;26,1;0,027144791
120;26,1;0,024128703
130;26,1;0,021112615
140;26,1;0,018096527
150;26,1;0,015080439
160;26,1;0,012064351
170;26,1;0,009048264
180;26,1;0,006032176
190;26,1;0,003016088
200;26,1;0
0;26,2;0,060926889
10;26,2;0,057880545
20;26,2;0,0548342
30;26,2;0,051787856
40;26,2;0,048741511
50;26,2;0,045695167
60;26,2;0,042648822
70;26,2;0,039602478
80;26,2;0,036556133
90;26,2;0,033509789
100;26,2;0,030463445
110;26,2;0,0274171
120;26,2;0,024370756
130;26,2;0,021324411
140;26,2;0,018278067
150;26,2;0,015231722
160;26,2;0,012185378
170;26,2;0,009139033
180;26,2;0,006092689
190;26,2;0,003046344
200;26,2;0
0;26,3;0,061524711
10;26,3;0,058448475
20;26,3;0,05537224
30;26,3;0,052296004
40;26,3;0,049219769
50;26,3;0,046143533
60;26,3;0,043067298
70;26,3;0,039991062
80;26,3;0,036914827
90;26,3;0,033838591
100;26,3;0,030762355
110;26,3;0,02768612
120;26,3;0,024609884
130;26,3;0,021533649
140;26,3;0,018457413
150;26,3;0,015381178
160;26,3;0,012304942
170;26,3;0,009228707
180;26,3;0,006152471
190;26,3;0,003076236
200;26,3;0
0;26,4;0,062114491
10;26,4;0,059008766
20;26,4;0,055903042
30;26,4;0,052797317
40;26,4;0,049691593
50;26,4;0,046585868
60;26,4;0,043480144
70;26,4;0,040374419
80;26,4;0,037268695
90;26,4;0,03416297
100;26,4;0,031057245
110;26,4;0,027951521
120;26,4;0,024845796
130;26,4;0,021740072
140;26,4;0,018634347
150;26,4;0,015528623
160;26,4;0,012422898
170;26,4;0,009317174
180;26,4;0,006211449
190;26,4;0,003105725
200;26,4;0
0;26,5;0,062695466
10;26,5;0,059560692
20;26,5;0,056425919
30;26,5;0,053291146
40;26,5;0,050156372
50;26,5;0,047021599
60;26,5;0,043886826
70;26,5;0,040752053
80;26,5;0,037617279
90;26,5;0,034482506
100;26,5;0,031347733
110;26,5;0,02821296
120;26,5;0,025078186
130;26,5;0,021943413
140;26,5;0,01880864
150;26,5;0,015673866
160;26,5;0,012539093
170;26,5;0,00940432
180;26,5;0,006269547
190;26,5;0,003134773
200;26,5;0
0;26,6;0,063266839
10;26,6;0,060103497
20;26,6;0,056940155
30;26,6;0,053776813
40;26,6;0,050613471
50;26,6;0,047450129
60;26,6;0,044286787
70;26,6;0,041123445
80;26,6;0,037960103
90;26,6;0,034796761
100;26,6;0,03163342
110;26,6;0,028470078
120;26,6;0,025306736
130;26,6;0,022143394
140;26,6;0,018980052
150;26,6;0,01581671
160;26,6;0,012653368
170;26,6;0,009490026
180;26,6;0,006326684
190;26,6;0,003163342
200;26,6;0
0;26,7;0,063827782
10;26,7;0,060636393
20;26,7;0,057445003
30;26,7;0,054253614
40;26,7;0,051062225
50;26,7;0,047870836
60;26,7;0,044679447
70;26,7;0,041488058
80;26,7;0,038296669
90;26,7;0,03510528
100;26,7;0,031913891
110;26,7;0,028722502
120;26,7;0,025531113
130;26,7;0,022339724
140;26,7;0,019148334
150;26,7;0,015956945
160;26,7;0,012765556
170;26,7;0,009574167
180;26,7;0,006382778
190;26,7;0,003191389
200;26,7;0
0;26,8;0,064377429
10;26,8;0,061158557
20;26,8;0,057939686
30;26,8;0,054720814
40;26,8;0,051501943
50;26,8;0,048283071
60;26,8;0,0450642
70;26,8;0,041845329
80;26,8;0,038626457
90;26,8;0,035407586
100;26,8;0,032188714
110;26,8;0,028969843
120;26,8;0,025750971
130;26,8;0,0225321
140;26,8;0,019313229
150;26,8;0,016094357
160;26,8;0,012875486
170;26,8;0,009656614
180;26,8;0,006437743
190;26,8;0,003218871
200;26,8;0
0;26,9;0,064914879
10;26,9;0,061669135
20;26,9;0,058423391
30;26,9;0,055177647
40;26,9;0,051931903
50;26,9;0,048686159
60;26,9;0,045440415
70;26,9;0,042194671
80;26,9;0,038948927
90;26,9;0,035703183
100;26,9;0,032457439
110;26,9;0,029211696
120;26,9;0,025965952
130;26,9;0,022720208
140;26,9;0,019474464
150;26,9;0,01622872
160;26,9;0,012982976
170;26,9;0,009737232
180;26,9;0,006491488
190;26,9;0,003245744
200;26,9;0
0;27;0,065439195
10;27;0,062167235
20;27;0,058895275
30;27;0,055623315
40;27;0,052351356
50;27;0,049079396
60;27;0,045807436
70;27;0,042535476
80;27;0,039263517
90;27;0,035991557
100;27;0,032719597
110;27;0,029447638
120;27;0,026175678
130;27;0,022903718
140;27;0,019631758
150;27;0,016359799
160;27;0,013087839
170;27;0,009815879
180;27;0,006543919
190;27;0,00327196
200;27;0
0;27,1;0,065949398
10;27,1;0,062651928
20;27,1;0,059354458
30;27,1;0,056056989
40;27,1;0,052759519
50;27,1;0,049462049
60;27,1;0,046164579
70;27,1;0,042867109
80;27,1;0,039569639
