ShellLength;Temperature;G
80;26,2;0,042987293
90;26,2;0,039405019
100;26,2;0,035822744
110;26,2;0,03224047
120;26,2;0,028658195
130;26,2;0,025075921
140;26,2;0,021493647
150;26,2;0,017911372
160;26,2;0,014329098
170;26,2;0,010746823
180;26,2;0,007164549
190;26,2;0,003582274
200;26,2;0
0;26,3;0,072348482
10;26,3;0,068731058
20;26,3;0,065113634
30;26,3;0,06149621
40;26,3;0,057878786
50;26,3;0,054261362
60;26,3;0,050643938
70;26,3;0,047026514
80;26,3;0,043409089
90;26,3;0,039791665
100;26,3;0,036174241
110;26,3;0,032556817
120;26,3;0,028939393
130;26,3;0,025321969
140;26,3;0,021704545
150;26,3;0,018087121
160;26,3;0,014469696
170;26,3;0,010852272
180;26,3;0,007234848
190;26,3;0,003617424
200;26,3;0
0;26,4;0,07304202
10;26,4;0,069389919
20;26,4;0,065737818
30;26,4;0,062085717
40;26,4;0,058433616
50;26,4;0,054781515
60;26,4;0,051129414
70;26,4;0,047477313
80;26,4;0,043825212
90;26,4;0,040173111
100;26,4;0,03652101
110;26,4;0,032868909
120;26,4;0,029216808
130;26,4;0,025564707
140;26,4;0,021912606
150;26,4;0,018260505
160;26,4;0,014608404
170;26,4;0,010956303
180;26,4;0,007304202
190;26,4;0,003652101
200;26,4;0
0;26,5;0,073725203
10;26,5;0,070038943
20;26,5;0,066352682
30;26,5;0,062666422
40;26,5;0,058980162
50;26,5;0,055293902
60;26,5;0,051607642
70;26,5;0,047921382
80;26,5;0,044235122
90;26,5;0,040548862
100;26,5;0,036862601
110;26,5;0,033176341
120;26,5;0,029490081
130;26,5;0,025803821
140;26,5;0,022117561
150;26,5;0,018431301
160;26,5;0,014745041
170;26,5;0,01105878
180;26,5;0,00737252
190;26,5;0,00368626
200;26,5;0
0;26,6;0,074397095
10;26,6;0,070677241
20;26,6;0,066957386
30;26,6;0,063237531
40;26,6;0,059517676
50;26,6;0,055797822
60;26,6;0,052077967
70;26,6;0,048358112
80;26,6;0,044638257
90;26,6;0,040918402
100;26,6;0,037198548
110;26,6;0,033478693
120;26,6;0,029758838
130;26,6;0,026038983
140;26,6;0,022319129
150;26,6;0,018599274
160;26,6;0,014879419
170;26,6;0,011159564
180;26,6;0,00743971
190;26,6;0,003719855
200;26,6;0
0;26,7;0,075056722
10;26,7;0,071303886
20;26,7;0,06755105
30;26,7;0,063798214
40;26,7;0,060045378
50;26,7;0,056292542
60;26,7;0,052539705
70;26,7;0,048786869
80;26,7;0,045034033
90;26,7;0,041281197
100;26,7;0,037528361
110;26,7;0,033775525
120;26,7;0,030022689
130;26,7;0,026269853
140;26,7;0,022517017
150;26,7;0,018764181
160;26,7;0,015011344
170;26,7;0,011258508
180;26,7;0,007505672
190;26,7;0,003752836
200;26,7;0
0;26,8;0,075703066
10;26,8;0,071917913
20;26,8;0,068132759
30;26,8;0,064347606
40;26,8;0,060562453
50;26,8;0,0567773
60;26,8;0,052992146
70;26,8;0,049206993
80;26,8;0,04542184
90;26,8;0,041636686
100;26,8;0,037851533
110;26,8;0,03406638
120;26,8;0,030281226
130;26,8;0,026496073
140;26,8;0,02271092
150;26,8;0,018925767
160;26,8;0,015140613
170;26,8;0,01135546
180;26,8;0,007570307
190;26,8;0,003785153
200;26,8;0
0;26,9;0,076335068
10;26,9;0,072518314
20;26,9;0,068701561
30;26,9;0,064884808
40;26,9;0,061068054
50;26,9;0,057251301
60;26,9;0,053434547
70;26,9;0,049617794
80;26,9;0,045801041
90;26,9;0,041984287
100;26,9;0,038167534
110;26,9;0,03435078
120;26,9;0,030534027
130;26,9;0,026717274
140;26,9;0,02290052
150;26,9;0,019083767
160;26,9;0,015267014
170;26,9;0,01145026
180;26,9;0,007633507
190;26,9;0,003816753
200;26,9;0
0;27;0,076951624
10;27;0,073104043
20;27;0,069256461
30;27;0,06540888
40;27;0,061561299
50;27;0,057713718
60;27;0,053866137
70;27;0,050018556
80;27;0,046170974
90;27;0,042323393
100;27;0,038475812
110;27;0,034628231
120;27;0,03078065
130;27;0,026933068
140;27;0,023085487
150;27;0,019237906
160;27;0,015390325
170;27;0,011542744
180;27;0,007695162
190;27;0,003847581
200;27;0
0;27,1;0,077551586
10;27,1;0,073674006
20;27,1;0,069796427
30;27,1;0,065918848
40;27,1;0,062041268
50;27,1;0,058163689
60;27,1;0,05428611
70;27,1;0,050408531
80;27,1;0,046530951
90;27,1;0,042653372
100;27,1;0,038775793
110;27,1;0,034898213
120;27,1;0,031020634
130;27,1;0,027143055
140;27,1;0,023265476
150;27,1;0,019387896
160;27,1;0,015510317
170;27,1;0,011632738
180;27,1;0,007755159
190;27,1;0,003877579
200;27,1;0
0;27,2;0,078133757
10;27,2;0,074227069
20;27,2;0,070320381
30;27,2;0,066413693
40;27,2;0,062507005
50;27,2;0,058600317
60;27,2;0,05469363
70;27,2;0,050786942
80;27,2;0,046880254
90;27,2;0,042973566
100;27,2;0,039066878
110;27,2;0,03516019
120;27,2;0,031253503
130;27,2;0,027346815
140;27,2;0,023440127
150;27,2;0,019533439
160;27,2;0,015626751
170;27,2;0,011720063
180;27,2;0,007813376
190;27,2;0,003906688
200;27,2;0
0;27,3;0,078696893
10;27,3;0,074762048
20;27,3;0,070827203
30;27,3;0,066892359
40;27,3;0,062957514
50;27,3;0,059022669
60;27,3;0,055087825
70;27,3;0,05115298
80;27,3;0,047218136
90;27,3;0,043283291
100;27,3;0,039348446
110;27,3;0,035413602
120;27,3;0,031478757
130;27,3;0,027543912
140;27,3;0,023609068
150;27,3;0,019674223
160;27,3;0,015739379
170;27,3;0,011804534
180;27,3;0,007869689
190;27,3;0,003934845
200;27,3;0
0;27,4;0,079239698
10;27,4;0,075277713
20;27,4;0,071315728
30;27,4;0,067353743
40;27,4;0,063391758
50;27,4;0,059429774
60;27,4;0,055467789
70;27,4;0,051505804
80;27,4;0,047543819
90;27,4;0,043581834
100;27,4;0,039619849
110;27,4;0,035657864
120;27,4;0,031695879
130;27,4;0,027733894
140;27,4;0,023771909
150;27,4;0,019809925
160;27,4;0,01584794
170;27,4;0,011885955
180;27,4;0,00792397
190;27,4;0,003961985
200;27,4;0
0;27,5;0,079760826
10;27,5;0,075772785
20;27,5;0,071784743
30;27,5;0,067796702
40;27,5;0,063808661
50;27,5;0,059820619
60;27,5;0,055832578
70;27,5;0,051844537
80;27,5;0,047856496
90;27,5;0,043868454
100;27,5;0,039880413
110;27,5;0,035892372
120;27,5;0,03190433
130;27,5;0,027916289
140;27,5;0,023928248
150;27,5;0,019940206
160;27,5;0,015952165
170;27,5;0,011964124
180;27,5;0,007976083
190;27,5;0,003988041
200;27,5;0
0;27,6;0,080258875
10;27,6;0,076245931
20;27,6;0,072232988
30;27,6;0,068220044
40;27,6;0,0642071
50;27,6;0,060194156
60;27,6;0,056181213
70;27,6;0,052168269
80;27,6;0,048155325
90;27,6;0,044142381
100;27,6;0,040129438
110;27,6;0,036116494
120;27,6;0,03210355
130;27,6;0,028090606
140;27,6;0,024077663
150;27,6;0,020064719
160;27,6;0,016051775
170;27,6;0,012038831
180;27,6;0,008025888
190;27,6;0,004012944
200;27,6;0
0;27,7;0,080732389
10;27,7;0,076695769
20;27,7;0,07265915
30;27,7;0,06862253
